,time,SCE
0,1980-09-01,0
1,1980-09-08,0
2,1980-09-15,0
3,1980-09-22,0
4,1980-09-29,0
5,1980-10-06,0
6,1980-10-13,0
7,1980-10-20,0
8,1980-10-27,0
9,1980-11-03,0
10,1980-11-10,0
11,1980-11-17,0
12,1980-11-24,0
13,1980-12-01,0
14,1980-12-08,0
15,1980-12-15,0
16,1980-12-22,0
17,1980-12-29,0
18,1981-01-05,0
19,1981-01-12,1
20,1981-01-19,0
21,1981-01-26,1
22,1981-02-02,1
23,1981-02-09,1
24,1981-02-16,0
25,1981-02-23,0
26,1981-03-02,0
27,1981-03-09,0
28,1981-03-16,0
29,1981-03-23,0
30,1981-03-30,0
31,1981-04-06,0
32,1981-04-13,0
33,1981-04-20,0
34,1981-04-27,0
35,1981-05-04,0
36,1981-05-11,0
37,1981-05-18,0
38,1981-05-25,0
39,1981-06-01,0
40,1981-06-08,0
41,1981-06-15,0
42,1981-06-22,0
43,1981-06-29,0
44,1981-07-06,0
45,1981-07-13,0
46,1981-07-20,0
47,1981-07-27,0
48,1981-08-03,0
49,1981-08-10,0
50,1981-08-17,0
51,1981-08-24,0
52,1981-08-31,0
53,1981-09-07,0
54,1981-09-14,0
55,1981-09-21,0
56,1981-09-28,0
57,1981-10-05,0
58,1981-10-12,0
59,1981-10-19,0
60,1981-10-26,0
61,1981-11-02,0
62,1981-11-09,0
63,1981-11-16,0
64,1981-11-23,1
65,1981-11-30,1
66,1981-12-07,1
67,1981-12-14,0
68,1981-12-21,1
69,1981-12-28,1
70,1982-01-04,1
71,1982-01-11,1
72,1982-01-18,1
73,1982-01-25,1
74,1982-02-01,1
75,1982-02-08,1
76,1982-02-15,1
77,1982-02-22,1
78,1982-03-01,1
79,1982-03-08,1
80,1982-03-15,0
81,1982-03-22,1
82,1982-03-29,1
83,1982-04-05,0
84,1982-04-12,1
85,1982-04-19,0
86,1982-04-26,0
87,1982-05-03,0
88,1982-05-10,0
89,1982-05-17,0
90,1982-05-24,0
91,1982-05-31,0
92,1982-06-07,0
93,1982-06-14,0
94,1982-06-21,0
95,1982-06-28,0
96,1982-07-05,0
97,1982-07-12,0
98,1982-07-19,0
99,1982-07-26,0
100,1982-08-02,0
101,1982-08-09,0
102,1982-08-16,0
103,1982-08-23,0
104,1982-08-30,0
105,1982-09-06,0
106,1982-09-13,0
107,1982-09-20,0
108,1982-09-27,0
109,1982-10-04,0
110,1982-10-11,0
111,1982-10-18,0
112,1982-10-25,0
113,1982-11-01,0
114,1982-11-08,0
115,1982-11-15,1
116,1982-11-22,1
117,1982-11-29,1
118,1982-12-06,0
119,1982-12-13,0
120,1982-12-20,0
121,1982-12-27,0
122,1983-01-03,0
123,1983-01-10,0
124,1983-01-17,0
125,1983-01-24,0
126,1983-01-31,1
127,1983-02-07,1
128,1983-02-14,0
129,1983-02-21,0
130,1983-02-28,0
131,1983-03-07,0
132,1983-03-14,0
133,1983-03-21,0
134,1983-03-28,0
135,1983-04-04,0
136,1983-04-11,0
137,1983-04-18,0
138,1983-04-25,0
139,1983-05-02,0
140,1983-05-09,0
141,1983-05-16,0
142,1983-05-23,0
143,1983-05-30,0
144,1983-06-06,0
145,1983-06-13,0
146,1983-06-20,0
147,1983-06-27,0
148,1983-07-04,0
149,1983-07-11,0
150,1983-07-18,0
151,1983-07-25,0
152,1983-08-01,0
153,1983-08-08,0
154,1983-08-15,0
155,1983-08-22,0
156,1983-08-29,0
157,1983-09-05,0
158,1983-09-12,0
159,1983-09-19,0
160,1983-09-26,0
161,1983-10-03,0
162,1983-10-10,0
163,1983-10-17,0
164,1983-10-24,0
165,1983-10-31,0
166,1983-11-07,0
167,1983-11-14,0
168,1983-11-21,0
169,1983-11-28,1
170,1983-12-05,1
171,1983-12-12,1
172,1983-12-19,1
173,1983-12-26,1
174,1984-01-02,1
175,1984-01-09,1
176,1984-01-16,1
177,1984-01-23,1
178,1984-01-30,0
179,1984-02-06,0
180,1984-02-13,0
181,1984-02-20,0
182,1984-02-27,0
183,1984-03-05,1
184,1984-03-12,1
185,1984-03-19,1
186,1984-03-26,0
187,1984-04-02,0
188,1984-04-09,0
189,1984-04-16,0
190,1984-04-23,0
191,1984-04-30,1
192,1984-05-07,0
193,1984-05-14,0
194,1984-05-21,0
195,1984-05-28,0
196,1984-06-04,0
197,1984-06-11,0
198,1984-06-18,0
199,1984-06-25,0
200,1984-07-02,0
201,1984-07-09,0
202,1984-07-16,0
203,1984-07-23,0
204,1984-07-30,0
205,1984-08-06,0
206,1984-08-13,0
207,1984-08-20,0
208,1984-08-27,0
209,1984-09-03,0
210,1984-09-10,0
211,1984-09-17,0
212,1984-09-24,0
213,1984-10-01,0
214,1984-10-08,0
215,1984-10-15,0
216,1984-10-22,0
217,1984-10-29,0
218,1984-11-05,0
219,1984-11-12,0
220,1984-11-19,0
221,1984-11-26,0
222,1984-12-03,1
223,1984-12-10,1
224,1984-12-17,1
225,1984-12-24,1
226,1984-12-31,1
227,1985-01-07,1
228,1985-01-14,1
229,1985-01-21,1
230,1985-01-28,1
231,1985-02-04,1
232,1985-02-11,1
233,1985-02-18,1
234,1985-02-25,1
235,1985-03-04,0
236,1985-03-11,1
237,1985-03-18,0
238,1985-03-25,0
239,1985-04-01,0
240,1985-04-08,0
241,1985-04-15,0
242,1985-04-22,0
243,1985-04-29,0
244,1985-05-06,0
245,1985-05-13,0
246,1985-05-20,0
247,1985-05-27,0
248,1985-06-03,0
249,1985-06-10,0
250,1985-06-17,0
251,1985-06-24,0
252,1985-07-01,0
253,1985-07-08,0
254,1985-07-15,0
255,1985-07-22,0
256,1985-07-29,0
257,1985-08-05,0
258,1985-08-12,0
259,1985-08-19,0
260,1985-08-26,0
261,1985-09-02,0
262,1985-09-09,0
263,1985-09-16,0
264,1985-09-23,0
265,1985-09-30,0
266,1985-10-07,0
267,1985-10-14,0
268,1985-10-21,0
269,1985-10-28,0
270,1985-11-04,0
271,1985-11-11,0
272,1985-11-18,0
273,1985-11-25,1
274,1985-12-02,1
275,1985-12-09,1
276,1985-12-16,1
277,1985-12-23,1
278,1985-12-30,1
279,1986-01-06,1
280,1986-01-13,1
281,1986-01-20,1
282,1986-01-27,1
283,1986-02-03,1
284,1986-02-10,1
285,1986-02-17,1
286,1986-02-24,1
287,1986-03-03,1
288,1986-03-10,0
289,1986-03-17,0
290,1986-03-24,0
291,1986-03-31,0
292,1986-04-07,0
293,1986-04-14,0
294,1986-04-21,0
295,1986-04-28,0
296,1986-05-05,0
297,1986-05-12,0
298,1986-05-19,0
299,1986-05-26,0
300,1986-06-02,0
301,1986-06-09,0
302,1986-06-16,0
303,1986-06-23,0
304,1986-06-30,0
305,1986-07-07,0
306,1986-07-14,0
307,1986-07-21,0
308,1986-07-28,0
309,1986-08-04,0
310,1986-08-11,0
311,1986-08-18,0
312,1986-08-25,0
313,1986-09-01,0
314,1986-09-08,0
315,1986-09-15,0
316,1986-09-22,0
317,1986-09-29,0
318,1986-10-06,0
319,1986-10-13,0
320,1986-10-20,0
321,1986-10-27,0
322,1986-11-03,0
323,1986-11-10,1
324,1986-11-17,1
325,1986-11-24,1
326,1986-12-01,1
327,1986-12-08,1
328,1986-12-15,1
329,1986-12-22,1
330,1986-12-29,0
331,1987-01-05,0
332,1987-01-12,0
333,1987-01-19,1
334,1987-01-26,1
335,1987-02-02,0
336,1987-02-09,0
337,1987-02-16,0
338,1987-02-23,1
339,1987-03-02,1
340,1987-03-09,1
341,1987-03-16,1
342,1987-03-23,0
343,1987-03-30,1
344,1987-04-06,0
345,1987-04-13,0
346,1987-04-20,0
347,1987-04-27,0
348,1987-05-04,0
349,1987-05-11,0
350,1987-05-18,0
351,1987-05-25,0
352,1987-06-01,0
353,1987-06-08,0
354,1987-06-15,0
355,1987-06-22,0
356,1987-06-29,0
357,1987-07-06,0
358,1987-07-13,0
359,1987-07-20,0
360,1987-07-27,0
361,1987-08-03,0
362,1987-08-10,0
363,1987-08-17,0
364,1987-08-24,0
365,1987-08-31,0
366,1987-09-07,0
367,1987-09-14,0
368,1987-09-21,0
369,1987-09-28,0
370,1987-10-05,0
371,1987-10-12,0
372,1987-10-19,0
373,1987-10-26,0
374,1987-11-02,0
375,1987-11-09,0
376,1987-11-16,0
377,1987-11-23,0
378,1987-11-30,0
379,1987-12-07,0
380,1987-12-14,0
381,1987-12-21,0
382,1987-12-28,1
383,1988-01-04,0
384,1988-01-11,1
385,1988-01-18,1
386,1988-01-25,1
387,1988-02-01,1
388,1988-02-08,1
389,1988-02-15,1
390,1988-02-22,1
391,1988-02-29,0
392,1988-03-07,0
393,1988-03-14,1
394,1988-03-21,0
395,1988-03-28,0
396,1988-04-04,0
397,1988-04-11,0
398,1988-04-18,0
399,1988-04-25,0
400,1988-05-02,0
401,1988-05-09,0
402,1988-05-16,0
403,1988-05-23,0
404,1988-05-30,0
405,1988-06-06,0
406,1988-06-13,0
407,1988-06-20,0
408,1988-06-27,0
409,1988-07-04,0
410,1988-07-11,0
411,1988-07-18,0
412,1988-07-25,0
413,1988-08-01,0
414,1988-08-08,0
415,1988-08-15,0
416,1988-08-22,0
417,1988-08-29,0
418,1988-09-05,0
419,1988-09-12,0
420,1988-09-19,0
421,1988-09-26,0
422,1988-10-03,0
423,1988-10-10,0
424,1988-10-17,0
425,1988-10-24,0
426,1988-10-31,0
427,1988-11-07,0
428,1988-11-14,0
429,1988-11-21,1
430,1988-11-28,1
431,1988-12-05,0
432,1988-12-12,0
433,1988-12-19,0
434,1988-12-26,0
435,1989-01-02,1
436,1989-01-09,1
437,1989-01-16,1
438,1989-01-23,1
439,1989-01-30,1
440,1989-02-06,1
441,1989-02-13,1
442,1989-02-20,1
443,1989-02-27,1
444,1989-03-06,1
445,1989-03-13,1
446,1989-03-20,1
447,1989-03-27,0
448,1989-04-03,0
449,1989-04-10,0
450,1989-04-17,1
451,1989-04-24,0
452,1989-05-01,0
453,1989-05-08,0
454,1989-05-15,0
455,1989-05-22,0
456,1989-05-29,0
457,1989-06-05,0
458,1989-06-12,0
459,1989-06-19,0
460,1989-06-26,0
461,1989-07-03,0
462,1989-07-10,0
463,1989-07-17,0
464,1989-07-24,0
465,1989-07-31,0
466,1989-08-07,0
467,1989-08-14,0
468,1989-08-21,0
469,1989-08-28,0
470,1989-09-04,0
471,1989-09-11,0
472,1989-09-18,0
473,1989-09-25,0
474,1989-10-02,0
475,1989-10-09,0
476,1989-10-16,0
477,1989-10-23,0
478,1989-10-30,0
479,1989-11-06,0
480,1989-11-13,0
481,1989-11-20,0
482,1989-11-27,1
483,1989-12-04,1
484,1989-12-11,1
485,1989-12-18,1
486,1989-12-25,1
487,1990-01-01,1
488,1990-01-08,1
489,1990-01-15,0
490,1990-01-22,1
491,1990-01-29,1
492,1990-02-05,1
493,1990-02-12,0
494,1990-02-19,1
495,1990-02-26,0
496,1990-03-05,0
497,1990-03-12,0
498,1990-03-19,0
499,1990-03-26,0
500,1990-04-02,0
501,1990-04-09,0
502,1990-04-16,1
503,1990-04-23,0
504,1990-04-30,0
505,1990-05-07,0
506,1990-05-14,0
507,1990-05-21,0
508,1990-05-28,0
509,1990-06-04,0
510,1990-06-11,0
511,1990-06-18,0
512,1990-06-25,0
513,1990-07-02,0
514,1990-07-09,0
515,1990-07-16,0
516,1990-07-23,0
517,1990-07-30,0
518,1990-08-06,0
519,1990-08-13,0
520,1990-08-20,0
521,1990-08-27,0
522,1990-09-03,0
523,1990-09-10,0
524,1990-09-17,0
525,1990-09-24,0
526,1990-10-01,0
527,1990-10-08,0
528,1990-10-15,0
529,1990-10-22,0
530,1990-10-29,0
531,1990-11-05,0
532,1990-11-12,0
533,1990-11-19,0
534,1990-11-26,0
535,1990-12-03,1
536,1990-12-10,0
537,1990-12-17,0
538,1990-12-24,1
539,1990-12-31,1
540,1991-01-07,1
541,1991-01-14,1
542,1991-01-21,1
543,1991-01-28,1
544,1991-02-04,0
545,1991-02-11,0
546,1991-02-18,0
547,1991-02-25,1
548,1991-03-04,0
549,1991-03-11,0
550,1991-03-18,0
551,1991-03-25,0
552,1991-04-01,0
553,1991-04-08,0
554,1991-04-15,1
555,1991-04-22,0
556,1991-04-29,0
557,1991-05-06,0
558,1991-05-13,0
559,1991-05-20,0
560,1991-05-27,0
561,1991-06-03,0
562,1991-06-10,0
563,1991-06-17,0
564,1991-06-24,0
565,1991-07-01,0
566,1991-07-08,0
567,1991-07-15,0
568,1991-07-22,0
569,1991-07-29,0
570,1991-08-05,0
571,1991-08-12,0
572,1991-08-19,0
573,1991-08-26,0
574,1991-09-02,0
575,1991-09-09,0
576,1991-09-16,0
577,1991-09-23,0
578,1991-09-30,0
579,1991-10-07,0
580,1991-10-14,0
581,1991-10-21,0
582,1991-10-28,0
583,1991-11-04,1
584,1991-11-11,1
585,1991-11-18,0
586,1991-11-25,0
587,1991-12-02,1
588,1991-12-09,0
589,1991-12-16,0
590,1991-12-23,0
591,1991-12-30,1
592,1992-01-06,0
593,1992-01-13,1
594,1992-01-20,1
595,1992-01-27,1
596,1992-02-03,0
597,1992-02-10,0
598,1992-02-17,1
599,1992-02-24,1
600,1992-03-02,0
601,1992-03-09,0
602,1992-03-16,0
603,1992-03-23,1
